video,count
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608161000_20200608161500.mp4,7539
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-11/crescent_cen1_mouldMaking_20200611191500_20200611192000.mp4,7471
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608033500_20200608034000.mp4,7461
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624154501_20200624155001.mp4,7498
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624082001_20200624082501.mp4,7521
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-14/crescent_cen1_mouldMaking_20200614010501_20200614011001.mp4,7482
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624180001_20200624180501.mp4,7471
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624145001_20200624145501.mp4,7440
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-23/crescent_cen1_mouldMaking_20200623125001_20200623125501.mp4,7458
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-13/crescent_cen1_mouldMaking_20200613075001_20200613075501.mp4,7522
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-11/crescent_cen1_mouldMaking_20200611143500_20200611144000.mp4,7480
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607203500_20200607204000.mp4,7516
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608151500_20200608152000.mp4,7444
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624082501_20200624083001.mp4,7489
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-11/crescent_cen1_mouldMaking_20200611104000_20200611104500.mp4,7495
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-05-19/crescent_cen1_mouldMaking_20200519132000_20200519134000.mp4,30002
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607171500_20200607172000.mp4,7507
